battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1741,0,0.6,0,12,1,3,0.5,112,2,12,762,1050,374,15,12,14,0,1,0,0
915,1,2.0,0,19,1,4,0.2,144,7,19,780,887,2940,10,9,18,1,0,0,2
1447,0,2.4,1,8,1,36,0.9,167,6,4,400,1730,1555,19,6,12,0,1,0,1
747,0,1.2,1,11,0,34,0.3,162,5,20,309,1650,3758,16,5,7,0,1,0,2
1637,1,2.5,0,18,1,64,0.5,100,4,5,1747,1551,3456,7,11,18,1,1,1,3
1550,1,2.1,1,7,1,33,0.9,193,4,7,1469,624,646,18,14,13,0,0,0,0
1031,1,2.8,0,16,1,63,0.5,114,8,9,869,874,3629,16,0,17,0,1,1,2
601,0,3.0,0,10,1,52,0.9,179,6,12,1631,826,3810,9,7,10,0,0,1,3
1956,1,0.6,0,17,0,23,0.3,117,8,6,1191,1566,3087,19,0,5,1,0,0,3
1168,0,1.6,0,9,1,60,0.7,87,7,16,1174,1837,1286,8,7,19,1,0,0,1
1839,1,1.9,1,12,1,32,1.0,200,7,0,220,1068,2763,14,15,14,1,0,1,2
1516,1,0.9,1,6,0,39,0.6,151,5,13,1055,995,3504,15,13,7,1,0,1,3
1667,1,1.3,1,12,1,8,0.7,105,2,13,211,1336,3308,19,2,18,1,1,1,3
1639,0,3.0,0,6,0,15,0.5,80,6,11,1341,1980,1869,13,13,2,1,1,0,2
791,0,0.5,1,12,1,34,0.8,95,6,12,132,1055,2904,19,0,19,1,0,0,1
1045,0,1.6,0,15,1,19,0.9,100,5,15,1008,917,1700,9,0,12,1,0,1,1
1200,1,2.6,1,8,0,39,0.7,192,1,18,720,1281,1207,17,17,13,0,0,1,0
1246,1,1.3,1,8,1,7,0.9,101,8,4,256,1872,2774,8,0,2,1,0,0,2
565,0,1.7,1,6,0,17,0.6,99,7,10,927,1593,2001,19,5,5,0,0,1,0
1319,1,2.9,1,14,1,43,0.6,181,3,11,393,1276,1097,16,2,15,0,1,0,1
731,1,1.7,0,11,1,40,0.4,186,4,7,479,1595,2729,14,11,12,0,1,1,2
1615,0,0.8,1,10,0,63,0.7,105,1,20,1745,522,1460,5,9,4,1,1,1,1
1524,0,0.6,1,0,0,58,0.9,158,8,10,685,1629,2456,12,15,14,1,0,1,2
1883,1,2.9,0,2,0,53,0.7,144,2,12,792,646,1608,7,18,16,0,1,1,1
1617,1,1.2,1,0,0,2,0.3,149,4,4,12,1086,3568,18,14,7,1,0,1,3
1049,0,1.8,0,17,0,39,0.6,117,4,8,589,1024,3439,10,8,15,0,1,1,2
1951,1,0.7,0,17,0,16,0.8,170,3,13,688,1535,2029,17,0,20,1,1,1,2
1116,1,1.6,1,1,0,18,0.9,186,6,8,1410,859,2915,18,17,11,1,0,0,3
988,1,2.8,1,0,0,15,0.2,167,8,16,233,857,922,6,10,6,1,1,0,0
1858,1,1.8,0,15,0,30,0.2,189,7,2,1823,1825,3989,16,4,20,0,0,0,3
1055,1,2.9,1,10,0,9,0.5,93,5,3,251,1215,1059,9,10,19,1,0,1,0
614,0,1.1,1,6,1,35,0.2,159,2,7,1280,1611,3501,6,7,10,0,1,1,2
1204,0,1.8,0,12,1,12,1.0,200,7,6,8,1374,3422,8,6,10,1,1,1,2
1693,0,2.6,0,4,0,33,0.5,144,3,17,1607,1429,922,13,8,17,1,1,1,1
784,1,1.6,0,3,1,41,0.6,193,8,18,1365,1529,288,17,14,2,1,0,0,0
1194,0,1.2,1,7,0,13,0.3,122,4,9,1642,1500,3014,15,3,7,1,0,1,3
694,0,2.6,0,17,1,8,0.5,188,5,10,1826,1867,3509,8,18,12,0,0,1,3
1529,1,1.5,1,15,0,52,1.0,193,4,6,1635,1676,2937,9,1,14,0,1,0,3
1213,0,1.8,1,3,0,48,0.5,155,4,11,1218,956,464,9,2,13,0,0,1,0
995,0,2.9,1,11,1,18,0.1,165,2,14,1644,754,2671,16,12,9,0,1,0,2
840,0,1.0,0,17,0,57,0.3,143,5,15,188,1767,1721,12,2,18,1,0,0,1
1346,0,1.3,0,19,1,15,1.0,118,4,20,1265,1058,3683,5,14,14,0,0,1,3
1504,0,0.6,1,15,0,60,1.0,144,7,12,1940,966,3251,6,13,12,1,0,0,3
1910,1,1.5,1,2,0,9,0.3,196,4,7,739,666,3246,6,8,19,1,0,1,3
1155,0,1.0,0,4,0,43,0.7,81,8,1,1913,1327,1781,19,8,3,1,1,1,1
741,0,2.2,1,4,1,3,0.2,104,3,14,993,1267,1461,12,18,15,0,0,1,1
1749,1,1.0,1,3,0,14,0.6,140,3,16,918,1741,3334,12,15,19,0,0,0,3
1444,0,2.2,1,3,1,27,0.2,121,1,11,588,1622,687,16,12,14,1,1,1,0
1550,1,1.2,0,6,1,7,0.8,155,6,19,211,1584,631,7,2,12,1,1,1,0
645,1,1.4,1,11,1,30,0.9,123,1,6,1718,1307,488,5,11,8,0,1,0,0
968,1,1.4,1,7,1,16,0.3,159,3,1,1413,1793,2170,9,0,7,0,0,0,1
1651,0,2.3,1,8,1,8,0.5,92,8,13,784,1973,538,8,4,12,0,1,0,0
1748,0,1.7,0,4,1,62,0.2,120,5,2,1885,1721,2436,16,13,19,0,0,1,3
1152,1,1.4,1,3,0,63,0.4,163,5,1,360,1021,882,17,7,10,0,1,0,0
1707,0,2.6,0,19,0,62,0.2,137,7,14,1527,914,3590,14,18,4,1,1,1,3
1762,1,1.9,1,11,1,11,0.3,166,7,9,886,501,1874,18,17,11,0,1,1,2
1081,0,1.0,0,4,0,26,1.0,156,8,12,1224,1988,606,11,1,3,1,1,0,0
1847,0,2.8,0,16,1,22,0.1,119,6,15,73,1598,2852,8,16,19,0,1,0,3
932,1,1.4,0,16,0,22,0.9,131,4,8,1197,1904,1523,9,16,12,0,0,1,1
859,1,0.6,0,19,0,28,0.2,196,2,12,1331,1680,1236,7,2,6,0,1,1,0
1523,1,1.7,0,3,0,34,0.6,196,3,11,1917,1144,2723,18,7,13,0,0,0,3
1455,1,0.8,0,12,0,32,0.5,84,6,12,678,717,3832,14,18,12,1,1,1,3
709,0,1.1,1,19,1,20,0.9,165,3,14,143,570,3923,16,0,11,1,1,0,2
1749,1,2.4,0,16,1,63,0.3,139,6,7,120,1687,1886,9,1,13,1,0,0,2
799,1,0.8,1,4,0,63,0.3,80,2,10,293,954,3431,15,9,19,0,0,1,2
1707,0,2.5,0,17,0,22,0.8,156,1,12,587,1068,1039,9,18,18,1,1,1,1
511,0,2.8,1,8,1,15,0.8,82,3,2,1629,1753,3424,11,5,6,0,1,0,3
1695,1,2.0,0,9,0,35,0.7,118,2,4,382,1221,3781,14,14,6,1,0,0,3
1680,0,2.3,1,11,1,25,0.1,163,7,1,284,1925,2191,19,13,20,1,1,1,2
1670,1,2.3,0,15,1,64,0.3,178,4,4,62,1319,2213,13,2,14,0,1,0,2
1497,0,3.0,0,2,0,29,0.9,129,4,9,751,1746,2368,15,5,2,1,0,1,1
1207,0,1.4,1,10,0,4,0.6,177,4,19,1183,688,529,13,11,12,0,0,0,0
1557,0,0.9,1,16,0,9,0.6,181,3,19,552,1094,3469,11,9,4,0,1,0,3
915,0,1.8,0,10,0,6,0.4,134,8,16,971,774,3016,18,4,2,1,0,1,2
1671,1,1.8,1,5,0,26,0.3,100,6,11,477,584,3511,19,3,5,1,0,0,3
1333,1,0.9,0,1,1,21,1.0,159,2,4,1568,1986,687,9,10,6,1,1,0,0
1188,1,2.0,0,10,0,55,0.8,81,2,7,50,1275,3258,18,15,3,1,1,1,2
1258,1,0.5,0,14,1,58,0.2,188,1,16,393,1030,1613,11,7,17,0,1,1,1
1353,0,2.8,1,10,1,10,0.9,126,3,19,1110,1064,3319,16,17,10,0,1,0,2
555,1,1.2,0,19,0,61,0.6,171,6,20,1651,861,3976,12,12,12,1,0,1,3
709,1,0.6,0,12,1,38,0.4,169,8,8,786,684,3548,16,7,18,0,1,1,3
868,1,0.8,0,10,0,21,0.5,137,4,10,136,1869,3682,18,13,17,1,1,0,3
671,1,1.1,1,1,1,27,0.8,197,1,10,1081,658,681,11,8,17,0,1,0,0
1159,1,1.2,0,11,1,29,0.4,176,1,1,530,1076,1486,15,14,5,0,1,1,1
1502,1,0.6,1,3,1,12,0.6,186,4,2,597,729,1351,12,18,16,0,1,1,1
1481,1,1.2,1,14,1,56,0.7,91,3,0,1808,1893,2178,16,14,20,0,0,1,3
1206,1,1.0,1,3,0,2,0.3,138,5,15,1846,808,3909,7,2,2,1,0,0,3
1782,1,1.4,1,18,0,6,0.9,195,1,4,507,1090,2823,15,1,18,0,1,1,2
1347,0,1.5,0,6,0,19,0.4,178,2,14,1159,1629,2295,13,15,18,0,0,0,2
618,0,1.3,0,8,1,11,0.5,134,5,7,1060,1354,3269,11,16,17,1,1,1,2
1647,1,1.3,1,2,0,5,0.7,88,3,16,1884,1072,916,10,10,9,1,0,1,1
1361,0,0.7,0,4,1,26,0.6,114,3,2,1855,1344,2728,15,4,5,0,1,1,3
1452,0,0.6,0,18,0,25,0.5,149,2,6,686,1154,2138,10,16,15,0,0,0,2
1348,1,1.0,0,5,1,9,0.7,157,1,4,49,933,1016,5,8,13,1,1,1,1
1330,1,2.4,1,10,1,53,0.9,191,3,9,4,1396,2673,19,5,15,1,1,1,2
635,1,3.0,1,19,0,57,0.8,91,3,11,9,1047,3401,11,6,6,0,0,1,2
1338,0,2.8,0,12,0,47,0.8,127,8,3,1532,1939,3356,7,5,5,1,0,0,3
1692,0,1.8,1,0,1,34,0.3,112,8,14,1450,1194,3411,8,5,19,1,1,1,3
955,1,1.8,1,7,0,61,0.5,196,4,20,1622,1633,3295,17,6,11,1,1,0,2
1404,1,1.3,1,7,0,24,0.6,100,3,0,273,851,2011,9,12,18,1,1,1,2
546,0,2.4,1,5,0,28,0.1,106,4,1,115,1467,440,9,0,19,1,0,0,0
1021,1,2.4,1,4,1,2,0.8,116,5,19,334,1338,3869,12,6,10,1,0,1,3
1155,0,2.6,0,10,0,46,0.4,92,4,13,1226,1615,1953,5,3,6,1,0,1,1
1974,1,2.7,1,7,0,7,0.4,157,7,19,17,1192,2624,13,12,19,1,1,0,2
821,1,1.6,0,5,1,43,0.3,143,8,14,1296,1578,332,5,18,15,0,0,1,0
914,1,2.4,0,8,0,51,0.4,147,4,15,1743,587,3582,17,14,14,1,0,0,3
1112,1,2.5,1,6,0,15,0.4,189,1,3,285,1534,3580,11,4,20,1,1,0,2
1988,0,1.3,1,4,0,40,0.6,132,1,10,1448,1629,3730,8,9,6,0,1,0,3
1780,0,2.8,0,9,0,21,0.6,117,7,7,1083,1244,906,11,0,8,1,0,1,0
552,0,0.7,1,18,0,27,0.3,125,4,17,1851,551,3411,7,7,2,1,0,0,3
850,1,3.0,0,10,0,35,0.3,176,3,0,476,1349,2594,9,5,9,1,0,1,1
1732,1,2.4,0,11,0,17,0.8,143,5,0,444,1671,802,6,9,10,1,1,0,0
587,1,0.7,0,19,1,52,0.2,100,8,11,32,1191,2391,15,7,10,0,0,0,1
1783,0,2.1,1,12,0,26,0.6,163,4,20,1382,641,2039,19,12,4,0,1,1,2
922,0,0.6,0,4,1,31,0.6,170,3,20,1700,1092,2597,12,10,17,0,1,0,2
1876,1,2.4,0,7,1,53,0.6,110,7,12,36,1990,569,6,17,11,1,0,1,0
940,1,2.5,1,9,1,16,0.9,147,1,9,964,905,2364,6,1,10,0,0,0,2
1151,1,2.0,0,9,1,30,0.7,148,7,5,1419,1293,2791,17,17,18,0,1,1,2
1492,0,2.6,1,2,0,64,1.0,101,5,20,1532,1032,2934,10,15,11,1,1,0,2
689,0,0.7,0,2,1,27,0.9,81,1,3,1824,1567,3135,9,13,18,1,1,0,2
1335,1,1.2,0,6,0,9,0.3,166,2,2,1417,1142,2599,6,15,6,0,0,1,2
1257,1,1.5,1,18,0,19,0.3,154,6,10,1805,1076,2881,14,0,18,1,1,1,2
1675,0,0.6,0,14,1,62,0.4,166,7,8,1948,1368,593,5,4,20,0,0,1,1
1994,1,1.6,0,16,0,49,0.5,125,2,10,1818,1357,3242,18,0,16,1,0,1,3
1496,0,1.2,0,3,0,52,0.6,142,6,18,858,1249,1628,8,15,18,1,1,0,1
1113,0,1.5,0,8,0,17,0.3,198,8,5,798,887,2305,6,6,16,0,1,1,1
1109,1,1.6,0,11,0,54,0.3,107,6,18,838,661,2301,15,6,13,0,1,1,2
1126,1,2.7,0,8,0,26,0.4,158,6,4,1864,1535,3909,10,11,16,0,0,0,3
1721,1,1.2,1,8,1,52,0.7,96,2,6,552,1009,1473,15,8,20,1,1,0,1
981,0,2.7,0,7,1,57,0.7,87,6,0,1475,1418,1694,5,12,13,0,0,0,1
750,1,1.6,0,1,0,15,1.0,195,6,14,1225,1063,3101,17,17,15,0,0,1,3
1001,1,1.3,0,17,1,61,0.3,95,1,18,121,1780,2630,9,6,3,0,0,0,2
534,1,1.8,1,18,0,41,0.5,159,3,18,953,1559,1445,16,16,20,1,1,1,0
659,0,1.5,1,1,1,48,1.0,142,8,3,381,1105,1544,19,10,16,0,0,0,1
635,1,1.1,1,8,1,49,0.7,177,8,16,1429,999,3357,13,7,5,0,1,0,2
1657,1,1.8,0,10,1,12,0.6,146,2,2,877,1622,3384,10,17,7,0,1,1,3
1583,1,0.9,1,15,0,48,0.6,164,6,13,699,511,805,9,9,6,1,1,1,0
1545,0,1.4,0,19,0,15,0.2,188,5,14,128,586,1752,15,2,8,0,1,1,0
1192,1,1.9,1,8,0,19,0.9,180,5,3,256,626,3135,5,5,18,1,0,0,2
1575,0,1.5,0,14,1,9,0.7,167,5,2,1498,1018,699,7,16,10,0,0,1,1
741,0,2.6,0,18,0,13,0.6,99,7,1,1691,1245,942,14,9,9,0,0,1,0
1850,1,1.1,1,16,0,63,0.6,100,4,14,570,938,849,5,10,16,1,1,1,0
1251,0,2.9,0,5,1,22,0.5,140,5,12,1623,782,2232,9,12,9,0,0,0,2
1907,1,2.5,0,16,1,26,0.3,159,6,2,1082,969,1943,14,3,18,1,0,1,2
728,0,2.9,0,8,0,32,0.8,160,5,10,688,1241,1455,8,1,16,1,1,1,0
1245,1,2.6,1,0,0,46,0.6,175,8,16,885,945,765,18,8,6,1,0,1,0
1544,1,0.9,1,15,0,38,0.1,92,2,4,1353,1360,2641,19,17,13,1,1,1,2
1243,1,1.8,1,16,0,35,0.5,100,8,12,1782,1072,3277,5,2,11,1,0,0,3
1169,0,0.9,1,6,1,54,0.9,98,6,6,965,1899,1052,7,13,8,0,0,1,0
749,0,2.5,0,9,0,33,0.4,145,8,5,679,1987,2750,18,18,19,0,0,1,1
1071,0,2.0,0,7,1,50,0.5,156,3,8,1492,1482,3233,5,1,9,1,0,1,3
858,0,1.2,0,2,0,59,0.7,93,4,7,1029,1331,2341,12,2,4,0,0,0,1
952,1,2.8,0,19,1,44,0.8,185,1,10,765,546,2402,19,16,9,0,0,1,1
1525,0,0.8,0,0,1,4,0.7,116,8,4,901,1433,880,13,2,11,0,0,0,1
1445,0,1.9,0,11,0,18,0.9,159,7,8,1050,1070,3839,9,14,4,0,0,0,3
1410,0,2.3,0,0,0,40,0.2,170,3,13,274,934,3836,5,15,16,1,0,0,2
1042,0,0.6,1,13,0,32,0.9,84,1,8,113,1689,2920,10,5,6,0,1,1,1
1939,1,2.0,0,18,0,19,0.9,184,6,13,1303,563,3634,13,5,3,0,1,0,3
631,1,2.5,1,12,1,23,0.6,197,6,2,342,890,2529,6,9,12,0,0,0,2
1013,0,0.7,0,12,0,6,0.7,195,5,2,1042,1660,2730,12,9,5,1,1,0,2
677,1,1.8,1,16,1,16,0.3,96,2,18,1533,1886,3359,11,16,16,0,0,1,2
1008,1,1.1,1,19,0,51,0.5,127,8,9,421,1271,398,9,11,3,1,0,1,0
1942,0,2.2,1,17,0,2,0.3,108,4,12,748,1292,1078,19,18,9,0,0,1,1
1049,0,0.8,0,4,1,54,0.1,134,6,15,1918,1949,1017,18,4,2,0,0,1,1
1862,0,2.8,0,11,1,23,1.0,197,7,3,68,638,2624,15,5,9,0,0,0,3
1242,0,2.7,1,16,1,52,0.3,172,5,20,1481,1220,1163,13,4,19,0,1,1,0
1549,0,1.0,1,5,0,18,0.6,173,1,8,328,862,1717,12,12,14,0,1,0,1
1186,0,1.3,0,13,1,54,0.4,131,8,18,1776,1214,2104,6,0,12,0,0,0,1
898,1,2.0,1,0,1,38,0.4,193,6,8,807,1858,3040,9,16,4,1,0,0,3
1646,0,2.3,0,17,0,55,0.5,191,8,8,13,1393,2192,5,14,7,0,1,1,1
1953,1,1.6,0,12,1,5,0.4,177,5,12,1407,1986,347,10,18,9,1,1,0,1
895,0,0.9,0,14,1,52,0.7,178,8,4,288,1257,2826,12,18,12,1,0,1,1
1668,0,0.8,1,16,0,19,1.0,158,7,12,712,1793,1856,14,1,5,0,1,1,2
891,1,3.0,1,4,1,24,0.5,91,2,20,985,754,680,10,14,20,1,0,1,0
1575,1,1.6,0,9,1,4,1.0,114,2,13,1461,980,2695,8,9,14,0,1,0,3
1683,1,2.7,1,17,0,62,0.7,173,2,1,821,910,1267,15,13,7,0,1,1,0
1174,0,1.7,1,3,1,42,0.6,119,7,14,1682,1652,1980,7,16,4,1,0,1,2
1605,0,2.8,0,16,0,63,0.3,100,2,0,944,1269,3877,6,11,13,1,1,0,3
908,0,0.7,1,5,0,37,0.2,194,4,2,668,833,1146,15,0,10,1,1,0,0
618,0,0.8,1,11,0,11,0.9,139,7,5,661,759,3569,13,16,14,0,1,0,3
644,1,2.8,1,10,0,23,0.6,184,4,6,1569,1076,1994,18,8,13,1,1,0,1
1170,0,2.9,0,13,1,29,0.5,114,1,0,1303,730,3746,16,8,14,0,1,1,3
1853,0,1.3,1,16,1,11,0.8,123,3,0,248,1545,3436,18,11,17,0,0,0,3
691,1,1.4,0,6,1,60,0.4,121,1,16,1471,1771,3371,14,17,11,0,1,1,3
1183,0,1.6,0,3,0,62,0.8,125,4,9,814,1952,1030,17,10,15,0,1,0,1
1556,0,1.5,1,8,1,37,0.4,132,6,4,684,853,3216,7,3,8,0,1,1,2
803,0,1.0,1,12,0,38,0.9,116,5,9,191,1158,1630,12,13,19,0,0,1,0
1582,0,2.7,1,15,0,46,0.3,178,6,14,1957,1255,3662,19,12,9,0,1,0,3
958,1,1.1,1,15,0,44,0.2,119,1,15,103,1243,3962,16,1,14,1,0,0,3
1712,1,2.3,1,6,0,5,0.7,133,7,6,1954,1179,2545,11,10,20,1,1,0,2
1368,1,0.7,1,18,1,35,0.2,184,4,3,126,830,3672,18,14,8,0,0,1,3
1320,0,0.6,0,1,1,50,1.0,132,3,20,990,667,2252,9,16,3,0,0,1,1
765,1,2.1,1,2,0,52,0.7,81,6,13,205,1104,383,5,5,6,0,1,1,0
1194,1,1.3,0,0,0,39,0.3,80,2,20,966,638,3527,16,9,6,0,0,0,3
1784,0,2.1,0,18,1,58,0.3,132,4,6,1638,594,2241,11,15,3,0,0,0,2
529,1,0.7,1,3,0,38,0.9,158,4,2,1157,1285,420,5,11,12,0,0,1,0
1637,0,2.9,1,12,0,26,0.6,194,2,8,1066,1787,500,8,7,7,1,0,0,1
1239,1,2.4,0,16,1,29,0.9,95,8,6,233,1310,2963,6,3,3,1,0,0,2
1579,1,2.7,1,15,0,45,0.2,145,3,15,1857,534,3714,19,0,4,0,0,0,3
1494,0,0.8,1,18,1,57,0.9,114,1,15,736,1759,2866,17,13,7,0,1,1,3
1148,0,1.3,0,1,1,16,0.6,134,4,1,1055,1524,1908,18,18,9,1,0,0,1
963,0,1.4,1,8,0,20,0.7,133,8,12,1760,954,1405,7,11,20,1,0,1,1
1440,1,1.8,0,10,0,43,0.4,117,6,7,1232,909,1822,17,14,15,0,0,1,1
710,0,1.2,1,13,0,50,0.2,82,6,12,1441,1848,1464,13,12,15,1,1,0,1
1376,1,0.7,1,12,0,27,1.0,88,8,8,361,1213,1277,9,6,15,0,1,0,1
642,0,1.4,1,11,1,42,1.0,143,1,11,902,711,736,15,9,17,1,0,0,0
1474,0,1.1,1,6,0,2,0.4,107,5,15,1060,922,2385,19,5,8,0,0,0,1
1443,1,1.5,1,2,0,20,0.9,119,3,6,344,896,1073,11,4,3,0,0,1,1
626,1,1.0,1,8,1,62,0.3,90,6,4,755,1099,798,5,11,11,1,1,1,0
1636,1,1.2,0,5,0,38,0.2,86,7,14,1630,1018,1288,17,12,2,0,0,0,1
1123,0,2.1,0,11,0,56,0.2,95,1,19,1826,1319,3246,7,18,6,0,1,0,3
1680,0,1.5,0,15,1,15,0.5,125,2,9,1614,984,2400,7,4,16,1,1,1,3
562,0,1.4,1,11,0,20,0.1,99,8,20,1831,1460,2094,14,5,11,0,1,1,2
769,1,1.8,1,11,0,63,0.5,108,4,3,1958,1238,2471,16,3,15,0,1,0,2
1240,1,2.4,0,0,0,64,0.2,116,3,17,389,1909,2376,16,18,11,1,1,1,2
782,0,1.4,0,12,1,57,0.8,115,2,20,1677,1741,2118,18,14,12,0,0,0,2
994,1,2.0,1,8,0,21,0.9,81,3,6,1216,997,3403,18,6,7,0,0,1,3
1490,0,2.9,1,2,1,52,0.7,94,1,3,1684,563,2989,6,18,6,1,0,1,3
716,1,1.8,0,4,0,30,0.3,194,2,13,1251,1376,949,9,13,6,0,1,1,0
1516,1,2.8,1,15,1,55,0.8,160,2,18,245,1007,3314,15,9,17,1,0,1,3
655,1,2.5,1,18,1,55,0.3,94,1,1,1103,1851,911,10,7,20,0,0,0,0
762,0,0.6,1,10,0,29,0.8,114,8,13,1491,1108,548,15,10,3,1,1,0,0
1381,1,1.6,1,19,0,21,0.6,126,7,18,243,935,1831,11,1,12,1,0,0,1
1690,0,2.2,1,3,0,63,0.4,189,8,0,989,1008,1726,11,3,10,1,0,0,1
755,1,3.0,1,5,0,30,0.2,186,2,10,1282,1796,3198,5,17,12,0,0,1,3
949,0,1.6,1,18,0,29,0.8,173,3,1,910,668,2858,14,3,6,1,1,0,2
1887,1,0.7,1,3,1,43,0.9,92,3,3,1567,1935,475,17,3,2,1,1,0,1
1984,0,1.9,0,13,0,61,0.7,139,5,10,249,849,2122,17,16,5,1,1,1,2
1371,0,0.8,0,4,1,10,1.0,138,2,6,676,1770,3232,10,17,5,1,1,0,3
1170,1,2.4,0,6,0,64,0.9,157,2,1,1865,1315,3000,15,15,2,0,0,0,3
1020,1,1.8,1,9,0,28,0.3,182,8,16,1009,1354,2130,7,1,8,1,0,1,1
1418,0,2.3,0,7,0,3,0.8,118,3,4,354,806,2560,14,15,14,1,1,1,2
1386,1,2.7,1,17,0,21,0.4,147,7,18,228,1582,2358,11,5,20,0,1,1,1
942,0,2.1,0,19,1,31,0.5,111,2,3,1163,1472,1121,18,0,14,1,0,1,0
534,0,2.0,0,10,0,44,0.2,105,8,10,1825,1221,2368,15,17,5,1,0,1,1
727,0,2.4,0,10,0,37,1.0,117,6,15,96,1186,2782,6,5,8,0,0,1,1
1937,0,2.6,1,1,1,10,0.8,168,7,10,214,1395,466,18,12,7,1,0,0,0
1127,0,2.7,0,4,1,32,0.3,132,5,8,735,1207,2858,15,1,6,0,1,0,2
1223,0,0.6,1,0,0,16,0.4,162,8,15,408,1960,1190,8,3,20,1,0,1,1
1200,0,1.9,1,17,1,18,0.5,163,3,0,237,562,285,9,16,14,1,1,1,0
1674,0,1.0,1,4,0,46,0.8,123,4,17,585,876,3083,7,11,11,0,1,0,3
597,0,2.7,0,6,0,52,0.9,195,1,14,1260,1775,1715,9,18,10,1,1,0,0
624,1,2.1,1,16,0,11,0.4,85,2,16,1619,1688,1799,19,3,8,1,0,1,2
913,1,1.6,1,14,1,39,0.5,188,7,8,600,1021,2592,18,16,9,0,1,0,2
1229,0,1.0,0,12,0,28,0.6,80,3,8,1373,1258,2354,13,16,14,1,0,0,2
1506,0,1.3,0,0,1,23,0.5,126,1,12,1614,540,2578,10,17,19,1,1,1,2
