battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,source,edge_case_type
1956.0,1.0,0.6,0.0,17.0,0.0,23.0,0.3,117.0,8.0,6.0,1191.0,1566.0,3087.0,19.0,0.0,5.0,1.0,0.0,0.0,3,synthetic_train,
1168.0,0.0,1.6,0.0,9.0,1.0,60.0,0.7,87.0,7.0,16.0,1174.0,1837.0,1286.0,8.0,7.0,19.0,1.0,0.0,0.0,1,synthetic_train,
1839.0,1.0,1.9,1.0,12.0,1.0,32.0,1.0,200.0,7.0,0.0,220.0,1068.0,2763.0,14.0,15.0,14.0,1.0,0.0,1.0,2,synthetic_train,
1516.0,1.0,0.9,1.0,6.0,0.0,39.0,0.6,151.0,5.0,13.0,1055.0,995.0,3504.0,15.0,13.0,7.0,1.0,0.0,1.0,3,synthetic_train,
1667.0,1.0,1.3,1.0,12.0,1.0,8.0,0.7,105.0,2.0,13.0,211.0,1336.0,3308.0,19.0,2.0,18.0,1.0,1.0,1.0,3,synthetic_train,
1639.0,0.0,3.0,0.0,6.0,0.0,15.0,0.5,80.0,6.0,11.0,1341.0,1980.0,1869.0,13.0,13.0,2.0,1.0,1.0,0.0,2,synthetic_train,
791.0,0.0,0.5,1.0,12.0,1.0,34.0,0.8,95.0,6.0,12.0,132.0,1055.0,2904.0,19.0,0.0,19.0,1.0,0.0,0.0,1,synthetic_train,
1045.0,0.0,1.6,0.0,15.0,1.0,19.0,0.9,100.0,5.0,15.0,1008.0,917.0,1700.0,9.0,0.0,12.0,1.0,0.0,1.0,1,synthetic_train,
1200.0,1.0,2.6,1.0,8.0,0.0,39.0,0.7,192.0,1.0,18.0,720.0,1281.0,1207.0,17.0,17.0,13.0,0.0,0.0,1.0,0,synthetic_train,
1246.0,1.0,1.3,1.0,8.0,1.0,7.0,0.9,101.0,8.0,4.0,256.0,1872.0,2774.0,8.0,0.0,2.0,1.0,0.0,0.0,2,synthetic_train,
565.0,0.0,1.7,1.0,6.0,0.0,17.0,0.6,99.0,7.0,10.0,927.0,1593.0,2001.0,19.0,5.0,5.0,0.0,0.0,1.0,0,synthetic_train,
1319.0,1.0,2.9,1.0,14.0,1.0,43.0,0.6,181.0,3.0,11.0,393.0,1276.0,1097.0,16.0,2.0,15.0,0.0,1.0,0.0,1,synthetic_train,
731.0,1.0,1.7,0.0,11.0,1.0,40.0,0.4,186.0,4.0,7.0,479.0,1595.0,2729.0,14.0,11.0,12.0,0.0,1.0,1.0,2,synthetic_train,
1615.0,0.0,0.8,1.0,10.0,0.0,63.0,0.7,105.0,1.0,20.0,1745.0,522.0,1460.0,5.0,9.0,4.0,1.0,1.0,1.0,1,synthetic_train,
1524.0,0.0,0.6,1.0,0.0,0.0,58.0,0.9,158.0,8.0,10.0,685.0,1629.0,2456.0,12.0,15.0,14.0,1.0,0.0,1.0,2,synthetic_train,
1883.0,1.0,2.9,0.0,2.0,0.0,53.0,0.7,144.0,2.0,12.0,792.0,646.0,1608.0,7.0,18.0,16.0,0.0,1.0,1.0,1,synthetic_train,
1617.0,1.0,1.2,1.0,0.0,0.0,2.0,0.3,149.0,4.0,4.0,12.0,1086.0,3568.0,18.0,14.0,7.0,1.0,0.0,1.0,3,synthetic_train,
1049.0,0.0,1.8,0.0,17.0,0.0,39.0,0.6,117.0,4.0,8.0,589.0,1024.0,3439.0,10.0,8.0,15.0,0.0,1.0,1.0,2,synthetic_train,
1951.0,1.0,0.7,0.0,17.0,0.0,16.0,0.8,170.0,3.0,13.0,688.0,1535.0,2029.0,17.0,0.0,20.0,1.0,1.0,1.0,2,synthetic_train,
1116.0,1.0,1.6,1.0,1.0,0.0,18.0,0.9,186.0,6.0,8.0,1410.0,859.0,2915.0,18.0,17.0,11.0,1.0,0.0,0.0,3,synthetic_train,
988.0,1.0,2.8,1.0,0.0,0.0,15.0,0.2,167.0,8.0,16.0,233.0,857.0,922.0,6.0,10.0,6.0,1.0,1.0,0.0,0,synthetic_train,
1858.0,1.0,1.8,0.0,15.0,0.0,30.0,0.2,189.0,7.0,2.0,1823.0,1825.0,3989.0,16.0,4.0,20.0,0.0,0.0,0.0,3,synthetic_train,
1055.0,1.0,2.9,1.0,10.0,0.0,9.0,0.5,93.0,5.0,3.0,251.0,1215.0,1059.0,9.0,10.0,19.0,1.0,0.0,1.0,0,synthetic_train,
614.0,0.0,1.1,1.0,6.0,1.0,35.0,0.2,159.0,2.0,7.0,1280.0,1611.0,3501.0,6.0,7.0,10.0,0.0,1.0,1.0,2,synthetic_train,
1204.0,0.0,1.8,0.0,12.0,1.0,12.0,1.0,200.0,7.0,6.0,8.0,1374.0,3422.0,8.0,6.0,10.0,1.0,1.0,1.0,2,synthetic_train,
1693.0,0.0,2.6,0.0,4.0,0.0,33.0,0.5,144.0,3.0,17.0,1607.0,1429.0,922.0,13.0,8.0,17.0,1.0,1.0,1.0,1,synthetic_train,
784.0,1.0,1.6,0.0,3.0,1.0,41.0,0.6,193.0,8.0,18.0,1365.0,1529.0,288.0,17.0,14.0,2.0,1.0,0.0,0.0,0,synthetic_train,
1194.0,0.0,1.2,1.0,7.0,0.0,13.0,0.3,122.0,4.0,9.0,1642.0,1500.0,3014.0,15.0,3.0,7.0,1.0,0.0,1.0,3,synthetic_train,
694.0,0.0,2.6,0.0,17.0,1.0,8.0,0.5,188.0,5.0,10.0,1826.0,1867.0,3509.0,8.0,18.0,12.0,0.0,0.0,1.0,3,synthetic_train,
1529.0,1.0,1.5,1.0,15.0,0.0,52.0,1.0,193.0,4.0,6.0,1635.0,1676.0,2937.0,9.0,1.0,14.0,0.0,1.0,0.0,3,synthetic_train,
1213.0,0.0,1.8,1.0,3.0,0.0,48.0,0.5,155.0,4.0,11.0,1218.0,956.0,464.0,9.0,2.0,13.0,0.0,0.0,1.0,0,synthetic_train,
995.0,0.0,2.9,1.0,11.0,1.0,18.0,0.1,165.0,2.0,14.0,1644.0,754.0,2671.0,16.0,12.0,9.0,0.0,1.0,0.0,2,synthetic_train,
840.0,0.0,1.0,0.0,17.0,0.0,57.0,0.3,143.0,5.0,15.0,188.0,1767.0,1721.0,12.0,2.0,18.0,1.0,0.0,0.0,1,synthetic_train,
1346.0,0.0,1.3,0.0,19.0,1.0,15.0,1.0,118.0,4.0,20.0,1265.0,1058.0,3683.0,5.0,14.0,14.0,0.0,0.0,1.0,3,synthetic_train,
1504.0,0.0,0.6,1.0,15.0,0.0,60.0,1.0,144.0,7.0,12.0,1940.0,966.0,3251.0,6.0,13.0,12.0,1.0,0.0,0.0,3,synthetic_train,
1910.0,1.0,1.5,1.0,2.0,0.0,9.0,0.3,196.0,4.0,7.0,739.0,666.0,3246.0,6.0,8.0,19.0,1.0,0.0,1.0,3,synthetic_train,
1155.0,0.0,1.0,0.0,4.0,0.0,43.0,0.7,81.0,8.0,1.0,1913.0,1327.0,1781.0,19.0,8.0,3.0,1.0,1.0,1.0,1,synthetic_train,
741.0,0.0,2.2,1.0,4.0,1.0,3.0,0.2,104.0,3.0,14.0,993.0,1267.0,1461.0,12.0,18.0,15.0,0.0,0.0,1.0,1,synthetic_train,
1749.0,1.0,1.0,1.0,3.0,0.0,14.0,0.6,140.0,3.0,16.0,918.0,1741.0,3334.0,12.0,15.0,19.0,0.0,0.0,0.0,3,synthetic_train,
1444.0,0.0,2.2,1.0,3.0,1.0,27.0,0.2,121.0,1.0,11.0,588.0,1622.0,687.0,16.0,12.0,14.0,1.0,1.0,1.0,0,synthetic_train,
1550.0,1.0,1.2,0.0,6.0,1.0,7.0,0.8,155.0,6.0,19.0,211.0,1584.0,631.0,7.0,2.0,12.0,1.0,1.0,1.0,0,synthetic_train,
645.0,1.0,1.4,1.0,11.0,1.0,30.0,0.9,123.0,1.0,6.0,1718.0,1307.0,488.0,5.0,11.0,8.0,0.0,1.0,0.0,0,synthetic_train,
968.0,1.0,1.4,1.0,7.0,1.0,16.0,0.3,159.0,3.0,1.0,1413.0,1793.0,2170.0,9.0,0.0,7.0,0.0,0.0,0.0,1,synthetic_train,
1651.0,0.0,2.3,1.0,8.0,1.0,8.0,0.5,92.0,8.0,13.0,784.0,1973.0,538.0,8.0,4.0,12.0,0.0,1.0,0.0,0,synthetic_train,
1748.0,0.0,1.7,0.0,4.0,1.0,62.0,0.2,120.0,5.0,2.0,1885.0,1721.0,2436.0,16.0,13.0,19.0,0.0,0.0,1.0,3,synthetic_train,
1152.0,1.0,1.4,1.0,3.0,0.0,63.0,0.4,163.0,5.0,1.0,360.0,1021.0,882.0,17.0,7.0,10.0,0.0,1.0,0.0,0,synthetic_train,
1707.0,0.0,2.6,0.0,19.0,0.0,62.0,0.2,137.0,7.0,14.0,1527.0,914.0,3590.0,14.0,18.0,4.0,1.0,1.0,1.0,3,synthetic_train,
1762.0,1.0,1.9,1.0,11.0,1.0,11.0,0.3,166.0,7.0,9.0,886.0,501.0,1874.0,18.0,17.0,11.0,0.0,1.0,1.0,2,synthetic_train,
1081.0,0.0,1.0,0.0,4.0,0.0,26.0,1.0,156.0,8.0,12.0,1224.0,1988.0,606.0,11.0,1.0,3.0,1.0,1.0,0.0,0,synthetic_train,
1847.0,0.0,2.8,0.0,16.0,1.0,22.0,0.1,119.0,6.0,15.0,73.0,1598.0,2852.0,8.0,16.0,19.0,0.0,1.0,0.0,3,synthetic_train,
932.0,1.0,1.4,0.0,16.0,0.0,22.0,0.9,131.0,4.0,8.0,1197.0,1904.0,1523.0,9.0,16.0,12.0,0.0,0.0,1.0,1,synthetic_train,
859.0,1.0,0.6,0.0,19.0,0.0,28.0,0.2,196.0,2.0,12.0,1331.0,1680.0,1236.0,7.0,2.0,6.0,0.0,1.0,1.0,0,synthetic_train,
1523.0,1.0,1.7,0.0,3.0,0.0,34.0,0.6,196.0,3.0,11.0,1917.0,1144.0,2723.0,18.0,7.0,13.0,0.0,0.0,0.0,3,synthetic_train,
1455.0,1.0,0.8,0.0,12.0,0.0,32.0,0.5,84.0,6.0,12.0,678.0,717.0,3832.0,14.0,18.0,12.0,1.0,1.0,1.0,3,synthetic_train,
709.0,0.0,1.1,1.0,19.0,1.0,20.0,0.9,165.0,3.0,14.0,143.0,570.0,3923.0,16.0,0.0,11.0,1.0,1.0,0.0,2,synthetic_train,
1749.0,1.0,2.4,0.0,16.0,1.0,63.0,0.3,139.0,6.0,7.0,120.0,1687.0,1886.0,9.0,1.0,13.0,1.0,0.0,0.0,2,synthetic_train,
799.0,1.0,0.8,1.0,4.0,0.0,63.0,0.3,80.0,2.0,10.0,293.0,954.0,3431.0,15.0,9.0,19.0,0.0,0.0,1.0,2,synthetic_train,
1707.0,0.0,2.5,0.0,17.0,0.0,22.0,0.8,156.0,1.0,12.0,587.0,1068.0,1039.0,9.0,18.0,18.0,1.0,1.0,1.0,1,synthetic_train,
511.0,0.0,2.8,1.0,8.0,1.0,15.0,0.8,82.0,3.0,2.0,1629.0,1753.0,3424.0,11.0,5.0,6.0,0.0,1.0,0.0,3,synthetic_train,
1695.0,1.0,2.0,0.0,9.0,0.0,35.0,0.7,118.0,2.0,4.0,382.0,1221.0,3781.0,14.0,14.0,6.0,1.0,0.0,0.0,3,synthetic_train,
1680.0,0.0,2.3,1.0,11.0,1.0,25.0,0.1,163.0,7.0,1.0,284.0,1925.0,2191.0,19.0,13.0,20.0,1.0,1.0,1.0,2,synthetic_train,
1670.0,1.0,2.3,0.0,15.0,1.0,64.0,0.3,178.0,4.0,4.0,62.0,1319.0,2213.0,13.0,2.0,14.0,0.0,1.0,0.0,2,synthetic_train,
1497.0,0.0,3.0,0.0,2.0,0.0,29.0,0.9,129.0,4.0,9.0,751.0,1746.0,2368.0,15.0,5.0,2.0,1.0,0.0,1.0,1,synthetic_train,
1207.0,0.0,1.4,1.0,10.0,0.0,4.0,0.6,177.0,4.0,19.0,1183.0,688.0,529.0,13.0,11.0,12.0,0.0,0.0,0.0,0,synthetic_train,
1557.0,0.0,0.9,1.0,16.0,0.0,9.0,0.6,181.0,3.0,19.0,552.0,1094.0,3469.0,11.0,9.0,4.0,0.0,1.0,0.0,3,synthetic_train,
915.0,0.0,1.8,0.0,10.0,0.0,6.0,0.4,134.0,8.0,16.0,971.0,774.0,3016.0,18.0,4.0,2.0,1.0,0.0,1.0,2,synthetic_train,
1671.0,1.0,1.8,1.0,5.0,0.0,26.0,0.3,100.0,6.0,11.0,477.0,584.0,3511.0,19.0,3.0,5.0,1.0,0.0,0.0,3,synthetic_train,
1333.0,1.0,0.9,0.0,1.0,1.0,21.0,1.0,159.0,2.0,4.0,1568.0,1986.0,687.0,9.0,10.0,6.0,1.0,1.0,0.0,0,synthetic_train,
1188.0,1.0,2.0,0.0,10.0,0.0,55.0,0.8,81.0,2.0,7.0,50.0,1275.0,3258.0,18.0,15.0,3.0,1.0,1.0,1.0,2,synthetic_train,
1258.0,1.0,0.5,0.0,14.0,1.0,58.0,0.2,188.0,1.0,16.0,393.0,1030.0,1613.0,11.0,7.0,17.0,0.0,1.0,1.0,1,synthetic_train,
1353.0,0.0,2.8,1.0,10.0,1.0,10.0,0.9,126.0,3.0,19.0,1110.0,1064.0,3319.0,16.0,17.0,10.0,0.0,1.0,0.0,2,synthetic_train,
555.0,1.0,1.2,0.0,19.0,0.0,61.0,0.6,171.0,6.0,20.0,1651.0,861.0,3976.0,12.0,12.0,12.0,1.0,0.0,1.0,3,synthetic_train,
709.0,1.0,0.6,0.0,12.0,1.0,38.0,0.4,169.0,8.0,8.0,786.0,684.0,3548.0,16.0,7.0,18.0,0.0,1.0,1.0,3,synthetic_train,
868.0,1.0,0.8,0.0,10.0,0.0,21.0,0.5,137.0,4.0,10.0,136.0,1869.0,3682.0,18.0,13.0,17.0,1.0,1.0,0.0,3,synthetic_train,
671.0,1.0,1.1,1.0,1.0,1.0,27.0,0.8,197.0,1.0,10.0,1081.0,658.0,681.0,11.0,8.0,17.0,0.0,1.0,0.0,0,synthetic_train,
1159.0,1.0,1.2,0.0,11.0,1.0,29.0,0.4,176.0,1.0,1.0,530.0,1076.0,1486.0,15.0,14.0,5.0,0.0,1.0,1.0,1,synthetic_train,
1502.0,1.0,0.6,1.0,3.0,1.0,12.0,0.6,186.0,4.0,2.0,597.0,729.0,1351.0,12.0,18.0,16.0,0.0,1.0,1.0,1,synthetic_train,
1481.0,1.0,1.2,1.0,14.0,1.0,56.0,0.7,91.0,3.0,0.0,1808.0,1893.0,2178.0,16.0,14.0,20.0,0.0,0.0,1.0,3,synthetic_train,
1206.0,1.0,1.0,1.0,3.0,0.0,2.0,0.3,138.0,5.0,15.0,1846.0,808.0,3909.0,7.0,2.0,2.0,1.0,0.0,0.0,3,synthetic_train,
1782.0,1.0,1.4,1.0,18.0,0.0,6.0,0.9,195.0,1.0,4.0,507.0,1090.0,2823.0,15.0,1.0,18.0,0.0,1.0,1.0,2,synthetic_train,
1347.0,0.0,1.5,0.0,6.0,0.0,19.0,0.4,178.0,2.0,14.0,1159.0,1629.0,2295.0,13.0,15.0,18.0,0.0,0.0,0.0,2,synthetic_train,
618.0,0.0,1.3,0.0,8.0,1.0,11.0,0.5,134.0,5.0,7.0,1060.0,1354.0,3269.0,11.0,16.0,17.0,1.0,1.0,1.0,2,synthetic_train,
1647.0,1.0,1.3,1.0,2.0,0.0,5.0,0.7,88.0,3.0,16.0,1884.0,1072.0,916.0,10.0,10.0,9.0,1.0,0.0,1.0,1,synthetic_train,
1361.0,0.0,0.7,0.0,4.0,1.0,26.0,0.6,114.0,3.0,2.0,1855.0,1344.0,2728.0,15.0,4.0,5.0,0.0,1.0,1.0,3,synthetic_train,
1452.0,0.0,0.6,0.0,18.0,0.0,25.0,0.5,149.0,2.0,6.0,686.0,1154.0,2138.0,10.0,16.0,15.0,0.0,0.0,0.0,2,synthetic_train,
1348.0,1.0,1.0,0.0,5.0,1.0,9.0,0.7,157.0,1.0,4.0,49.0,933.0,1016.0,5.0,8.0,13.0,1.0,1.0,1.0,1,synthetic_train,
1330.0,1.0,2.4,1.0,10.0,1.0,53.0,0.9,191.0,3.0,9.0,4.0,1396.0,2673.0,19.0,5.0,15.0,1.0,1.0,1.0,2,synthetic_train,
635.0,1.0,3.0,1.0,19.0,0.0,57.0,0.8,91.0,3.0,11.0,9.0,1047.0,3401.0,11.0,6.0,6.0,0.0,0.0,1.0,2,synthetic_train,
1338.0,0.0,2.8,0.0,12.0,0.0,47.0,0.8,127.0,8.0,3.0,1532.0,1939.0,3356.0,7.0,5.0,5.0,1.0,0.0,0.0,3,synthetic_train,
1692.0,0.0,1.8,1.0,0.0,1.0,34.0,0.3,112.0,8.0,14.0,1450.0,1194.0,3411.0,8.0,5.0,19.0,1.0,1.0,1.0,3,synthetic_train,
955.0,1.0,1.8,1.0,7.0,0.0,61.0,0.5,196.0,4.0,20.0,1622.0,1633.0,3295.0,17.0,6.0,11.0,1.0,1.0,0.0,2,synthetic_train,
1404.0,1.0,1.3,1.0,7.0,0.0,24.0,0.6,100.0,3.0,0.0,273.0,851.0,2011.0,9.0,12.0,18.0,1.0,1.0,1.0,2,synthetic_train,
546.0,0.0,2.4,1.0,5.0,0.0,28.0,0.1,106.0,4.0,1.0,115.0,1467.0,440.0,9.0,0.0,19.0,1.0,0.0,0.0,0,synthetic_train,
1021.0,1.0,2.4,1.0,4.0,1.0,2.0,0.8,116.0,5.0,19.0,334.0,1338.0,3869.0,12.0,6.0,10.0,1.0,0.0,1.0,3,synthetic_train,
1155.0,0.0,2.6,0.0,10.0,0.0,46.0,0.4,92.0,4.0,13.0,1226.0,1615.0,1953.0,5.0,3.0,6.0,1.0,0.0,1.0,1,synthetic_train,
1974.0,1.0,2.7,1.0,7.0,0.0,7.0,0.4,157.0,7.0,19.0,17.0,1192.0,2624.0,13.0,12.0,19.0,1.0,1.0,0.0,2,synthetic_train,
821.0,1.0,1.6,0.0,5.0,1.0,43.0,0.3,143.0,8.0,14.0,1296.0,1578.0,332.0,5.0,18.0,15.0,0.0,0.0,1.0,0,synthetic_train,
914.0,1.0,2.4,0.0,8.0,0.0,51.0,0.4,147.0,4.0,15.0,1743.0,587.0,3582.0,17.0,14.0,14.0,1.0,0.0,0.0,3,synthetic_train,
1112.0,1.0,2.5,1.0,6.0,0.0,15.0,0.4,189.0,1.0,3.0,285.0,1534.0,3580.0,11.0,4.0,20.0,1.0,1.0,0.0,2,synthetic_train,
1988.0,0.0,1.3,1.0,4.0,0.0,40.0,0.6,132.0,1.0,10.0,1448.0,1629.0,3730.0,8.0,9.0,6.0,0.0,1.0,0.0,3,synthetic_train,
1780.0,0.0,2.8,0.0,9.0,0.0,21.0,0.6,117.0,7.0,7.0,1083.0,1244.0,906.0,11.0,0.0,8.0,1.0,0.0,1.0,0,synthetic_train,
552.0,0.0,0.7,1.0,18.0,0.0,27.0,0.3,125.0,4.0,17.0,1851.0,551.0,3411.0,7.0,7.0,2.0,1.0,0.0,0.0,3,synthetic_train,
850.0,1.0,3.0,0.0,10.0,0.0,35.0,0.3,176.0,3.0,0.0,476.0,1349.0,2594.0,9.0,5.0,9.0,1.0,0.0,1.0,1,synthetic_train,
